
MAME GP2X GAMELIST (1128 romsets)

Name      Description
comotion  "Comotion"
congo     "Congo Bongo"
contra    "Contra (US)"
contrab   "Contra (US bootleg)"
cookrace  "Cook Race"
cop01     "Cop 01 (set 1)"
cop01a    "Cop 01 (set 2)"
copsnrob  "Cops'n Robbers"
cosmica   "Cosmic Alien"
cosmicmo  "Cosmic Monsters"
crash     "Crash"
crater    "Crater Raider"
crbalon2  "Crazy Balloon (set 2)"
crbaloon  "Crazy Balloon (set 1)"
crsword   "Crossed Swords"
crush     "Crush Roller"
csilver   "Captain Silver"
csprint   "Championship Sprint"
curvebal  "Curve Ball"
cworld2j  "Capcom World 2 (Japan)"
cyberlip  "Cyber-Lip"
dakkochn  "DakkoChan Jansoh"
darkplnt  "Dark Planet"
darkseal  "Dark Seal"
darwin    "Darwin 4078 (Japan)"
dday      "D-Day"
ddragon   "Double Dragon"
ddragon2  "Double Dragon 2"
ddragonb  "Double Dragon (bootleg)"
dduxbl    "Dynamite Dux (bootleg)"
deadeye   "Dead Eye"
defcmnd   "Defense Command"
defence   "Defence Command"
defender  "Defender"
depthch   "Depth Charge"
destderb  "Demolition Derby"
desterth  "Destination Earth"
devstors  "Devastators"
diamond   "Diamond Run"
digdug    "Dig Dug (Atari)"
digdug2   "Dig Dug 2"
digdugnm  "Dig Dug (Namco)"
dino      "Cadillacs and Dinosaurs (World)"
dkjrbl    "Donkey Kong Junior (bootleg?)"
dkjrjp    "Donkey Kong Junior (Japan)"
dkngjrjp  "Donkey Kong Jr. (Original Japanese)"
dkong     "Donkey Kong (US)"
dkong3    "Donkey Kong 3"
dkongjp   "Donkey Kong (Japan)"
dkongjr   "Donkey Kong Junior (US)"
docastl2  "Mr. Do's Castle (set 2)"
docastle  "Mr. Do's Castle (set 1)"
dogosoke  "Dogo Soken"
dogpatch  "Dog Patch"
domino    "Domino Man"
dominos   "Dominos"
dorunrun  "Mr. Do! Run Run"
dotron    "Discs of Tron (Upright)"
dotrone   "Discs of Tron (Environmental)"
doubledr  "Double Dragon (Neo Geo)"
douni     "Mr. Do vs. Unicorns"
dowild    "Mr. Do's Wild Ride"
dplay     "Double Play"
drgninja  "Dragonninja"
dwj       "Tenchi o Kurau (Japan)"
eagle     "Eagle"
earthinv  "Super Earth Invasion"
ebases    "Extra Bases"
edf       "Earth Defense Force"
eggs      "Eggs"
eightman  "Eight Man"
einnings  "Extra Innings"
elecyoy2  "Electric Yo-Yo (set 2)"
elecyoyo  "Electric Yo-Yo (set 1)"
elevatob  "Elevator Action (bootleg)"
elevator  "Elevator Action"
elim2     "Eliminator (2 Players)"
elim4     "Eliminator (4 Players)"
empire    "The Empire Strikes Back"
eprom     "Escape from the Planet of the Robot Monsters"
espial    "Espial (US?)"
espiale   "Espial (Europe)"
eswatbl   "E-Swat (bootleg)"
excthour  "Exciting Hour"
exctsccb  "Exciting Soccer (bootleg)"
exctsccr  "Exciting Soccer"
exedexes  "Exed Exes"
exerion   "Exerion"
exerionb  "Exerion (bootleg)"
exeriont  "Exerion (Taito)"
exprraid  "Express Raider"
exterm    "Exterminator"
eyes      "Eyes"
f1dream   "F1 Dream"
f1dreamb  "F1 Dream (bootleg)"
fantasy   "Fantasy"
fantazia  "Fantazia"
fantzone  "Fantasy Zone"
farwest   "Far West"
fastfred  "Fast Freddie"
fatfursp  "Fatal Fury Special"
fatfury1  "Fatal Fury - King of Fighters / Garou Densetsu"
fatfury2  "Fatal Fury 2"
fatfury3  "Fatal Fury 3"
fax       "Fax"
fbfrenzy  "Football Frenzy"
ffantasy  "Fighting Fantasy"
ffight    "Final Fight (World)"
ffightj   "Final Fight (Japan)"
firetpbl  "Fire Trap (Japan bootleg)"
firetrap  "Fire Trap"
fitegolf  "Fighting Golf"
flicky    "Flicky (set 1)"
flicky2   "Flicky (set 2)"
flyboy    "Fly-Boy (bootleg?)"
foodf     "Food Fight"
formatz   "Formation Z"
fpointbl  "Flash Point (bootleg)"
frenzy    "Frenzy"
frenzy1   "Frenzy (version 1)"
friskyt   "Frisky Tom"
frogger   "Frogger (set 1)"
frogger2  "Frogger (modified Moon Cresta hardware)"
froggers  "Frog"
frogs     "Frogs"
frogsega  "Frogger (set 2)"
frontlin  "Front Line"
futspy    "Future Spy"
gaiden    "Ninja Gaiden"
galaga    "Galaga (Namco)"
galaga3   "Galaga 3 (set 1)"
galaga3a  "Galaga 3 (set 2)"
galagab2  "Galaga (bootleg)"
galagads  "Galaga (fast shoot)"
galagamw  "Galaga (Midway)"
galap1    "Space Invaders Galactica"
galap4    "Galaxian Part 4"
galapx    "Galaxian Part X"
galaxian  "Galaxian (Namco)"
galaxyfg  "Galaxy Fight - Universal Warriors"
galivan   "Galivan"
gallag    "Gallag"
galmidw   "Galaxian (Midway)"
galnamco  "Galaxian (Namco, modified)"
galpanic  "Gals Panic"
galturbo  "Galaxian Turbo"
galxwars  "Galaxy Wars"
gaplus    "Gaplus (set 1)"
gaplusa   "Gaplus (set 2)"
gardia    "Gardia"
gatedoom  "Gate Of Doom (set 1)"
gatedoma  "Gate Of Doom (revision 4)"
gaunt2    "Gauntlet 2"
gaunt2p   "Gauntlet (2 Players)"
gauntir1  "Gauntlet (Intermediate Release 1)"
gauntir2  "Gauntlet (Intermediate Release 2)"
gauntlet  "Gauntlet"
gberet    "Green Beret"
gcastle   "Golden Castle"
gemini    "Gemini Wing"
gensitou  "Genshi-Tou 1930's"
getstar   "Get Star (bootleg)"
ghostb    "The Real Ghostbusters"
ghostb3   "The Real Ghostbusters (3 player)"
ghouls    "Ghouls'n Ghosts"
ghoulsj   "Dai Makai-Mura"
gladiatr  "Gladiator"
gmissile  "Guided Missile"
gng       "Ghosts'n Goblins (World?)"
gngcross  "Ghosts'n Goblins (Cross)"
gngjap    "Makai-Mura"
gngt      "Ghosts'n Goblins (US)"
goalx3    "Goal! Goal! Goal!"
goindol   "Goindol"
goldnaxe  "Golden Axe"
goldstar  "Golden Star"
goldstbl  "Golden Star (Blue version)"
gondo     "Gondomania"
gorf      "Gorf"
gorfpgm1  "Gorf (Program 1)"
gowcaizr  "Voltage Fighter Gowcaizer"
gpilots   "Ghost Pilots"
gradius   "Gradius"
gravitar  "Gravitar"
grescue   "Galaxy Rescue (bootleg?)"
gridiron  "Gridiron Fight"
growl     "Growl"
gryzorb   "Contra (Japan bootleg)"
gsword    "Great Swordsman"
gundeala  "Gun Dealer (set 2)"
gundealr  "Gun Dealer (set 1)"
gunfight  "Gunfight"
gunsmoka  "Gunsmoke (US set 2)"
gunsmoke  "Gunsmoke (World)"
gunsmokj  "Gunsmoke (Japan)"
gunsmrom  "Gunsmoke (US set 1)"
gururin   "Gururin"
guzzler   "Guzzler"
gwar      "Guerrilla War"
gwarrior  "Galactic Warriors"
gypsyjug  "Gypsy Juggler"
gyruss    "Gyruss (Konami)"
gyrussce  "Gyruss (Centuri)"
hangly    "Hangly Man"
hardhat   "Hard Hat"
hbarrel   "Heavy Barrel"
hbarrelj  "Heavy Barrel (Japan)"
headon    "Head On"
heiankyo  "Heiankyo Alien"
helifira  "Heli Fire (revision A)"
helifire  "Heli Fire (revision B)"
hellfire  "Hellfire"
hexa      "Hexa"
higemaru  "HigeMaru"
hiimpact  "High Impact Football (rev LA3 12/27/90)"
hippodrm  "Hippodrome"
homo      "Homo"
hustle    "Hustle"
hustler   "Video Hustler"
hvymetal  "Heavy Metal"
hwchamp   "Heavyweight Champ"
hyperspt  "HyperSports"
hyprolyb  "Hyper Olympic (bootleg)"
hyprolym  "Hyper Olympic"
ikari     "Ikari Warriors (US)"
ikarijp   "Ikari Warriors (Japan)"
ikarijpb  "Ikari Warriors (Japan bootleg)"
imsorry   "I'm Sorry (US)"
imsorryj  "I'm Sorry (Japan)"
indytemp  "Indiana Jones and the Temple of Doom"
intrepid  "Intrepid"
intruder  "Intruder"
invaders  "Space Invaders"
invadpt2  "Space Invaders Part II (Taito)"
invdelux  "Space Invaders Part II (Midway)"
invds     "Invinco / Deep Scan"
invho2    "Invinco / Head On 2"
invinco   "Invinco"
invrvnga  "Invader's Revenge (Dutchford)"
invrvnge  "Invader's Revenge"
irobot    "I, Robot"
ironhors  "Iron Horse"
jack      "Jack the Giantkiller (set 1)"
jacka     "Jack the Giantkiller (set 2)"
jackal    "Jackal"
jackrab2  "Jack Rabbit (set 2)"
jackrabs  "Jack Rabbit (special)"
jackrabt  "Jack Rabbit (set 1)"
jailbrek  "Jail Break"
janshin   "Janshin Densetsu - Quest of Jongmaster"
japirem   "Gingateikoku No Gyakushu"
jbugsega  "Jump Bug (bootleg)"
jedi      "Return of the Jedi"
jhunt     "Jungle Hunt"
jjack     "Jumping Jack"
journey   "Journey"
joust     "Joust (White/Green label)"
joustr    "Joust (Solid Red label)"
joustwr   "Joust (White/Red label)"
joyjoy    "Puzzled / Joy Joy Kid"
